Name	Version	Architecturet	Description
adduser	3.118ubuntu5	all	add and remove users and groups
adwaita-icon-theme	41.0-1ubuntu1	all	default icon theme of GNOME (small subset)
apt	2.4.8	amd64	commandline package manager
apt-utils	2.4.8	amd64	package management related utility programs
autoconf	2.71-2	all	automatic configure script builder
automake	1:1.16.5-1.3	all	Tool for generating GNU Standards-compliant Makefiles
autotools-dev	20220109.1	all	Update infrastructure for config.{guess,sub} files
base-files	12ubuntu4.2	amd64	Debian base system miscellaneous files
base-passwd	3.5.52build1	amd64	Debian base system master password and group files
bash	5.1-6ubuntu1	amd64	GNU Bourne Again SHell
bash-completion	1:2.11-5ubuntu1	all	programmable completion for the bash shell
biber	2.17-2	all	Much-augmented BibTeX replacement for BibLaTeX users
binutils	2.38-4ubuntu2.1	amd64	GNU assembler, linker and binary utilities
binutils-common:amd64	2.38-4ubuntu2.1	amd64	Common files for the GNU assembler, linker and binary utilities
binutils-x86-64-linux-gnu	2.38-4ubuntu2.1	amd64	GNU binary utilities, for x86-64-linux-gnu target
bsdutils	1:2.37.2-4ubuntu3	amd64	basic utilities from 4.4BSD-Lite
byacc	1:2.0.20220114-1	amd64	public domain Berkeley LALR Yacc parser generator
bzip2	1.0.8-5build1	amd64	high-quality block-sorting file compressor - utilities
ca-certificates	20211016ubuntu0.22.04.1	all	Common CA certificates
ca-certificates-java	20190909	all	Common CA certificates (JKS keystore)
cmake	3.22.1-1ubuntu1.22.04.1	amd64	cross-platform, open-source make system
cmake-data	3.22.1-1ubuntu1.22.04.1	all	CMake data files (modules, templates and documentation)
comerr-dev:amd64	2.1-1.46.5-2ubuntu1.1	amd64	common error description library - headers and static libraries
coreutils	8.32-4.1ubuntu1	amd64	GNU core utilities
cpp	4:11.2.0-1ubuntu1	amd64	GNU C preprocessor (cpp)
cpp-11	11.3.0-1ubuntu1~22.04	amd64	GNU C preprocessor
curl	7.81.0-1ubuntu1.6	amd64	command line tool for transferring data with URL syntax
dash	0.5.11+git20210903+057cd650a4ed-3build1	amd64	POSIX-compliant shell
debconf	1.5.79ubuntu1	all	Debian configuration management system
debianutils	5.5-1ubuntu2	amd64	Miscellaneous utilities specific to Debian
default-jdk	2:1.11-72build2	amd64	Standard Java or Java compatible Development Kit
default-jdk-headless	2:1.11-72build2	amd64	Standard Java or Java compatible Development Kit (headless)
default-jre	2:1.11-72build2	amd64	Standard Java or Java compatible Runtime
